stock,date,forecasted_volatility,forecasted_variance
RELIANCE.NS,2026-05-11,0.01284627579513986,0.0001650268018047962
RELIANCE.NS,2026-05-12,0.012904605759553855,0.00016652884980951054
RELIANCE.NS,2026-05-13,0.012960858552482642,0.00016798385441746242
RELIANCE.NS,2026-05-14,0.01301511770997292,0.0001693932890044508
RELIANCE.NS,2026-05-15,0.013067462676467722,0.000170758580800877
HDFCBANK.NS,2026-05-11,0.012474766097250423,0.00015561978918110855
HDFCBANK.NS,2026-05-12,0.01328456904023188,0.00017647977458468738
HDFCBANK.NS,2026-05-13,0.013735814845690277,0.00018867260947508542
HDFCBANK.NS,2026-05-14,0.013992834696198175,0.0001957994228351275
HDFCBANK.NS,2026-05-15,0.014140901827454113,0.00019996510449369506
INFY.NS,2026-05-11,0.014178849789011832,0.00020103978133936086
INFY.NS,2026-05-12,0.015233882743674718,0.00023207118344803037
INFY.NS,2026-05-13,0.015440823704975877,0.00023841903668814495
INFY.NS,2026-05-14,0.015482815241083936,0.000239717567789541
INFY.NS,2026-05-15,0.015491391100386706,0.00023998319822514044
SUNPHARMA.NS,2026-05-11,0.010965047251138,0.00012023226121968902
SUNPHARMA.NS,2026-05-12,0.011244231024677389,0.00012643273133631754
SUNPHARMA.NS,2026-05-13,0.011491760556441497,0.00013206056068658457
SUNPHARMA.NS,2026-05-14,0.01171190143278441,0.0001371686351712575
SUNPHARMA.NS,2026-05-15,0.011908188629883267,0.00014180495644488113
MARUTI.NS,2026-05-11,0.012466421309606165,0.00015541166026860272
MARUTI.NS,2026-05-12,0.012479772782828157,0.00015574472871101843
MARUTI.NS,2026-05-13,0.012492994035506903,0.00015607489997121108
MARUTI.NS,2026-05-14,0.012506086488194528,0.00015640219925020174
MARUTI.NS,2026-05-15,0.012519051542740826,0.00015672665152980145
ITC.NS,2026-05-11,0.011017556057904658,0.00012138654148907162
ITC.NS,2026-05-12,0.011442746391303443,0.00013093644497568798
ITC.NS,2026-05-13,0.011775033243196257,0.00013865140787837699
ITC.NS,2026-05-14,0.012036776974450485,0.00014488399993266133
ITC.NS,2026-05-15,0.012244143388091459,0.00014991904730814377
TATASTEEL.NS,2026-05-11,0.016318715782112872,0.00026630048477737967
TATASTEEL.NS,2026-05-12,0.016381155806152754,0.0002683422655454521
TATASTEEL.NS,2026-05-13,0.01644258775265609,0.000270358692003796
TATASTEEL.NS,2026-05-14,0.016503032418186805,0.00027235007899572465
TATASTEEL.NS,2026-05-15,0.016562509998635705,0.0002743167374549076
BAJFINANCE.NS,2026-05-11,0.015606642369678927,0.00024356728605505747
BAJFINANCE.NS,2026-05-12,0.015604958816418353,0.0002435147396621129
BAJFINANCE.NS,2026-05-13,0.015603278832144112,0.00024346231031363653
BAJFINANCE.NS,2026-05-14,0.01560160240965388,0.0002434099977489177
BAJFINANCE.NS,2026-05-15,0.015599929541758397,0.00024335780170782635
