Date,Close,High,Low,Open,Volume,Close_diff,Close_scaled
2021-01-01,562.5928955078125,565.8953275988437,552.7799314013818,559.0545754102791,8229768,,0.02172115204365971
2021-01-04,570.2828979492188,575.0478244165437,561.6022073293262,566.1312457775772,11329298,7.69000244140625,0.02727062828494392
2021-01-05,569.3865356445312,574.3401842511506,566.1312693279255,574.104296222264,7790158,-0.8963623046875,0.02662377006203076
2021-01-06,571.1320190429688,576.463110925213,562.4985527218835,569.999745115165,6422080,1.7454833984375,0.027883394974115128
2021-01-07,567.9239501953125,573.6795941400574,564.244074499596,571.8396562921992,4555702,-3.20806884765625,0.025568297939215223
2021-01-08,585.757080078125,587.644184110329,569.9054177255812,572.736073773887,11451416,17.8331298828125,0.03843754360545015
2021-01-11,585.9458618164062,592.5507266033867,579.3881631170769,588.493464037926,7516087,0.18878173828125,0.03857377760269043
2021-01-12,575.2366943359375,588.6823148821934,572.7834237525273,585.9459901210452,6747035,-10.70916748046875,0.03084552641556504
2021-01-13,568.3013916015625,579.8127381984931,563.5364652384865,576.5103060037092,6186661,-6.935302734375,0.025840677841877324
2021-01-14,572.7831420898438,577.1235151769724,562.7343493874673,568.3012707783585,6730284,4.48175048828125,0.029074924910533984
2021-01-15,570.1884155273438,581.9828145643559,564.338382087018,574.623121083228,8389544,-2.5947265625,0.02720244521745996
2021-01-18,548.6282958984375,573.0662569855238,545.7976400326856,569.9997131309593,7414570,-21.56011962890625,0.011643624196074065
2021-01-19,562.8759765625,568.9618989397757,550.4210777045552,553.77073362923,5500391,14.2476806640625,0.021925436970656298
2021-01-20,561.1304321289062,569.5280110665683,559.4792159929232,567.2635206339862,5182972,-1.74554443359375,0.020665768012662677
2021-01-21,549.9964599609375,564.9517354758009,547.8734680530953,564.2440715065202,4546393,-11.13397216796875,0.012630957297314838
2021-01-22,542.7311401367188,553.8178765088855,538.3907662371121,549.9965022985759,5591688,-7.26531982421875,0.0073879524924346796
2021-01-25,553.2990112304688,560.469984630882,534.9940762385692,544.5239300456781,8149590,10.56787109375,0.015014237399698649
2021-01-27,537.6358642578125,552.8270844908835,531.9273867472727,552.8270844908835,8534047,-15.66314697265625,0.003710955944224492
2021-01-28,532.4935302734375,542.0706057876062,519.3310263875441,523.5770102448882,9863454,-5.142333984375,0.0
2021-01-29,553.1102294921875,566.1312364116868,522.8221737902538,535.9375704697302,22539938,20.61669921875,0.014878003402458428
2021-02-01,556.83740234375,565.5652609535903,546.8828796952326,562.3571601583532,12621971,3.7271728515625,0.01756771089533704
