Date,Close,High,Low,Open,Volume,Close_diff,Close_scaled
2025-07-01,406.5790710449219,410.252093193802,406.3831645738626,408.4400629554616,13670465,,0.7825759319066599
2025-07-02,404.4732055664063,408.3421042433258,403.2488648665335,408.3421042433258,15990899,-2.105865478515568,0.7760358951865409
2025-07-03,404.864990234375,407.4605865502793,402.80809187212105,405.5016414226337,14185298,0.39178466796869316,0.777252632979641
2025-07-04,404.0813903808594,406.48111009570783,403.2978242937535,406.383156862037,8256733,-0.783599853515625,0.7748190626171674
2025-07-07,407.6075134277344,408.63597758463175,403.54270814671577,404.5221807393049,6845218,3.526123046875,0.7857698923076166
2025-07-08,408.635986328125,409.5175057020906,406.1383132289018,407.6075221492218,6807192,1.028472900390625,0.7889639474848462
2025-07-09,410.83978271484375,411.6723104890166,406.9218924227146,407.6564968524888,9930533,2.20379638671875,0.795808121265104
2025-07-10,408.2931518554688,411.672314329274,407.8523772370402,411.672314329274,6220360,-2.546630859374943,0.787899230833679
2025-07-11,408.2441711425781,409.4685119028319,406.9708687083669,408.44007762067145,8578844,-0.04898071289068184,0.7877471149154729
2025-07-14,410.7908020019531,411.3295298660291,407.9992991168515,408.4890354163033,6896989,2.546630859375,0.7956560053468984
2025-07-15,413.4353942871094,413.72922411339215,410.3990232206159,412.2600151997145,8532755,2.64459228515625,0.8038691276147354
2025-07-16,415.8840637207031,416.7166213924788,411.6723136892449,413.43538226908703,9780773,2.44866943359375,0.8114737862097492
2025-07-17,415.2474060058594,417.1573595734722,414.3168951123935,417.0594063387184,7240795,-0.63665771484375,0.8094965636018927
2025-07-18,414.072021484375,416.4717411939595,411.4764251990089,416.4717411939595,6730256,-1.175384521484375,0.8058462554463186
2025-07-21,411.4764404296875,414.0720368111289,409.8113250726935,413.3374323697135,4822343,-2.5955810546875,0.7977853438729605
2025-07-22,407.4606018066406,411.7702752706,406.6770356826959,411.47644544690354,9869507,-4.015838623046875,0.7853136393292721
2025-07-23,406.4321594238281,409.32158560296745,405.5016485154682,408.53801949465566,12196187,-1.0284423828125,0.7821196789283156
2025-07-24,401.5347900390625,407.3136721952123,401.0450537564882,407.3136721952123,9005157,-4.897369384765625,0.7669102669620149
2025-07-25,400.9960632324219,401.8286208931811,399.3799394739661,401.5837527512596,5824089,-0.538726806640625,0.7652371814142971
2025-07-28,401.4858093261719,402.416320244662,400.2125069135204,402.36732868040224,8123337,0.48974609375,0.7667581510438091
2025-07-29,400.0655822753906,402.9550084157297,399.6248076634273,401.5837527990323,6811772,-1.42022705078125,0.762347452849752
2025-07-30,399.2330322265625,400.898117688896,397.4210019633524,400.60428786940514,10915863,-0.832550048828125,0.7597618613453454
2025-07-31,403.4937438964844,405.5016507420153,397.2250954310459,397.61690837848414,19364174,4.260711669921875,0.7729940507037898
2025-08-01,407.9013671875,410.74183168633,403.3467957855224,403.9344853107258,14324065,4.407623291015625,0.7866824930405785
2025-08-04,408.2931518554688,413.8271659664987,406.5790748366726,411.57439098396185,18352458,0.39178466796880684,0.787899230833679
2025-08-05,405.6485595703125,409.3705732772581,404.522172091142,408.6359688485212,8495104,-2.644592285156307,0.7796861085658418
2025-08-06,403.5426940917969,406.4811117672226,402.07348525408406,405.6485541142926,9080543,-2.105865478515625,0.7731460718457226
2025-08-07,405.10986328125,406.2362507650608,403.1998798022133,403.542701181929,11514878,1.567169189453125,0.778013117794397
2025-08-08,405.9913940429688,406.82395173394906,404.4732234643995,405.40370450279846,9814361,0.8815307617188068,0.7807508252170094
2025-08-11,408.2931518554688,408.4400667645679,405.5016490180602,405.9913853091449,8514272,2.3017578125,0.787899230833679
2025-08-12,407.8034057617188,411.1825681542966,406.7749416404844,408.4400569465989,13635738,-0.48974609375,0.786378261204167
2025-08-13,405.599609375,408.9298102346124,405.1098730753178,408.6359804112558,10874910,-2.203796386718807,0.779534087423909
2025-08-14,403.0039978027344,406.5300751148795,402.563223193151,405.7465090213207,9580361,-2.595611572265625,0.7714730810742778
2025-08-18,397.9596862792969,405.207807083524,396.5394690122968,404.5221643400549,30950814,-5.0443115234375,0.7558073213533598
2025-08-19,400.7022399902344,400.9960698089069,396.19666012675947,398.00869038492266,16681331,2.7425537109375,0.7643246754576083
2025-08-20,397.7148132324219,401.82860986020313,397.1271536208501,400.7022224165175,18188129,-2.9874267578125,0.7550468365386038
2025-08-21,397.22509765625,398.4984299602952,395.0702758889242,397.7148339521601,15028966,-0.489715576171875,0.7535259616853649
2025-08-22,390.1239013671875,398.1555881648492,389.34033529035065,397.6658518940437,13087624,-7.1011962890625,0.7314722811625334
2025-08-25,391.1523742675781,392.327723409267,388.1160033420702,390.8095528920783,10440286,1.028472900390625,0.7346663363397632
2025-08-26,395.0702819824219,397.0781888701704,390.22188062167817,391.1033999896865,13715752,3.91790771484375,0.7468339038233129
2025-08-28,392.6705627441406,396.19667011274,391.78904337477377,396.19667011274,12471719,-2.39971923828125,0.7393812663702319
2025-08-29,401.3388977050781,402.0245404812832,393.6500318196282,393.7479850578192,25255050,8.6683349609375,0.7663018980654648
2025-09-01,397.5189514160156,401.77966310486,396.68639374720885,401.3388884886885,12268090,-3.8199462890625,0.7544385624183267
2025-09-02,398.4004821777344,399.4779080217149,396.1477071421557,398.20457570023547,19808255,0.88153076171875,0.757176269840939
2025-09-03,403.2978210449219,404.76702986475766,398.9391562562904,400.114535268611,12936588,4.8973388671875,0.7723855870309666
2025-09-04,407.3626403808594,418.2347920060821,406.4811210363561,415.24741259106247,27274123,4.0648193359375,0.7850094074928606
2025-09-05,398.9881591796875,408.4400635448862,396.09870312861307,408.3421103092152,16000675,-8.374481201171875,0.7590013765305896
2025-09-08,399.1840515136719,402.1224693529809,398.4494470538447,399.0861281652672,7419022,0.195892333984375,0.7596097454271398
2025-09-09,401.6327209472656,402.51427018540727,399.0371245789613,400.1145503991436,8825896,2.44866943359375,0.7672144040221536
2025-09-10,404.5711364746094,405.2078175633528,400.555322816839,402.56322964572416,9252397,2.93841552734375,0.7763400322466791
2025-09-11,406.5300903320313,408.1462440335788,403.9834854870758,404.5711451336769,8274406,1.9589538574219318,0.7824238159884542
2025-09-12,405.25677490234375,408.4890224194328,404.37525556960406,406.8239369889536,7803379,-1.2733154296875568,0.7784693707727415
