Date,Close,High,Low,Open,Volume,Close_diff,Close_scaled
2025-07-01,1651.005126953125,1667.9391179132515,1641.3993990350646,1659.422559768689,3298070,,0.8071718544525837
2025-07-02,1661.205078125,1665.6613659649777,1639.9139251117736,1639.9139251117736,1611046,10.199951171875,0.814532630619025
2025-07-03,1663.3836669921875,1676.3565128044447,1658.2342271518046,1661.205085725382,1553777,2.1785888671875,0.8161048053029867
2025-07-04,1660.0169677734375,1670.315848553093,1655.36254964748,1670.315848553093,1264399,-3.36669921875,0.813675232950005
2025-07-07,1669.05810546875,1671.5419707006272,1652.267152244763,1663.891593016956,1550620,9.0411376953125,0.8201997534838554
2025-07-08,1661.7059326171875,1671.1446210236827,1638.45692849627,1669.1575287275784,1860328,-7.3521728515625,0.8148940713501447
2025-07-09,1658.6259765625,1669.9524269938445,1636.3705184185849,1649.2866184425322,2178705,-3.0799560546875,0.8126714266787132
2025-07-10,1651.7703857421875,1659.818084868856,1636.569081949883,1651.273612693844,1741718,-6.8555908203125,0.8077241020624764
2025-07-11,1661.2091064453125,1669.0581450205405,1651.4723059926273,1655.0491690372774,1298302,9.438720703125,0.814535537649034
2025-07-14,1671.74072265625,1685.948481071095,1664.686569269172,1669.554969645884,1309704,10.5316162109375,0.8221356592862168
2025-07-15,1716.3509521484375,1719.7290332716816,1677.0065493687105,1693.9961640596734,3332578,44.6102294921875,0.8543285500650473
2025-07-16,1690.02197265625,1720.126469006684,1687.0413342565037,1718.834810520466,2285143,-26.3289794921875,0.8353282900179992
2025-07-17,1692.406494140625,1705.918697188592,1685.054228556699,1693.0025975593248,1461039,2.384521484375,0.837049075599694
2025-07-18,1682.669677734375,1698.3677548795465,1675.81418527775,1697.9703121766654,1253929,-9.73681640625,0.83002251979247
2025-07-21,1681.378173828125,1690.4194194057986,1666.6736425079068,1670.250384339653,2390289,-1.29150390625,0.8290905083532187
2025-07-22,1667.17041015625,1682.172932498894,1662.0040187807986,1675.2181095721396,1244491,-14.207763671875,0.8188375016032714
2025-07-23,1671.641357421875,1678.6955106617793,1660.613019676956,1667.6671729168602,1229173,4.470947265625,0.8220639525459947
2025-07-24,1681.080078125,1685.054262706856,1669.2568547374815,1671.6413897430923,1079045,9.438720703125,0.8288753881325523
2025-07-25,1688.034912109375,1691.0155505651303,1671.34328824415,1679.092996742109,1088592,6.954833984375,0.8338943313971929
2025-07-28,1691.214111328125,1699.0631497208833,1682.9677515240733,1691.1147809753018,2168507,3.17919921875,0.8361885947170282
2025-07-29,1699.460693359375,1706.9122895009684,1686.1471506632306,1687.0413664567195,1325544,8.24658203125,0.8421397256045569
2025-07-30,1722.6103515625,1729.2670622088262,1701.050327485951,1708.8993662735888,2318723,23.149658203125,0.8588456342399511
2025-07-31,1695.6851806640625,1736.7186855343634,1683.0671929606474,1704.4284353742569,3233087,-26.9251708984375,0.8394151337515701
2025-08-01,1619.18212890625,1684.0607416859682,1597.6222257410243,1679.0930108845346,8774548,-76.5030517578125,0.7842068459323428
2025-08-04,1631.0052490234375,1636.7678649006018,1603.1859582998518,1619.2814778451302,1898762,11.8231201171875,0.7927389790087769
2025-08-05,1621.566650390625,1633.9859772903794,1609.644096566861,1630.3099050410478,1622897,-9.4385986328125,0.7859276315140378
2025-08-06,1584.90478515625,1619.1821276597536,1580.7319397992544,1619.1821276597536,2376257,-36.661865234375,0.759470663310251
2025-08-07,1588.0841064453125,1595.038929127571,1560.860919118262,1570.7963800929167,3435674,3.1793212890625,0.7617650147219048
2025-08-08,1576.6583251953125,1591.6608469998002,1570.6970486147889,1579.7382938387532,1654424,-11.42578125,0.7535196205145409
2025-08-11,1598.0196533203125,1649.2866104488512,1573.9757636996972,1576.6584110765473,1140902,21.361328125,0.7689349840095734
2025-08-12,1611.73046875,1626.1368875025048,1599.7085849440618,1601.2982344809448,1679088,13.7108154296875,0.7788293689665915
2025-08-13,1629.217041015625,1632.8931132931275,1606.8622524247546,1613.7176238999627,1313668,17.486572265625,0.7914485219602334
2025-08-14,1630.806640625,1640.4439895646522,1621.665943467431,1629.216991074875,1738094,1.589599609375,0.792595653620151
2025-08-18,1622.1627197265625,1638.953673598573,1614.9099057390576,1638.953673598573,3080173,-8.6439208984375,0.7863577838635523
2025-08-19,1616.10205078125,1627.4285004990954,1608.650455082994,1622.2621093279645,2656391,-6.0606689453125,0.7819841131690928
