Date,Close,High,Low,Open,Volume,Close_diff,Close_scaled
2025-07-01,1582.57275390625,1593.308307768125,1576.367697072364,1584.7395342639384,4178937,,0.5776098103527918
2025-07-02,1586.2169189453125,1624.1364168524187,1579.2239966239758,1593.6038341220217,8653641,3.6441650390625,0.5818897109486489
2025-07-03,1594.293212890625,1607.786716594206,1590.6490495377586,1594.0962765801005,5259695,8.0762939453125,0.5913749386752594
2025-07-04,1615.96142578125,1618.6207872342948,1587.9897380569496,1600.4981989662078,4411273,21.668212890625,0.6168232365069084
2025-07-07,1602.4681396484375,1619.2118141254034,1598.5284515362102,1615.272126013176,3294523,-13.4932861328125,0.6009760060053084
2025-07-08,1613.9915771484375,1621.378491891406,1597.0509674297891,1603.4529602070286,4590681,11.5234375,0.6145097418525907
2025-07-09,1609.0670166015625,1613.3022292758048,1599.1193284889714,1613.1052929685202,4580828,-4.924560546875,0.6087260768997194
2025-07-10,1591.43701171875,1614.1886858160017,1582.868118202301,1614.1886858160017,5330179,-17.6300048828125,0.5880204646142986
2025-07-11,1570.85205078125,1582.868050545757,1539.433016356687,1555.2902357933656,11391755,-20.5849609375,0.5638443952986325
2025-07-14,1546.623046875,1567.7988696310574,1536.2813659941348,1567.7988696310574,9173426,-24.22900390625,0.5353885687529552
2025-07-15,1561.6922607421875,1579.4208563061295,1540.4179701114035,1541.5013602388092,7614807,15.0692138671875,0.5530866523243474
2025-07-16,1583.6561279296875,1587.6942841349517,1554.6993967165145,1555.1918577227598,6223491,21.9638671875,0.5788821822346204
2025-07-17,1559.6240234375,1585.7244570472844,1556.2752645133155,1573.9053927711557,7374814,-24.0321044921875,0.5506576047982827
2025-07-18,1562.1846923828125,1575.1857343566385,1556.176692489401,1568.0942241264431,5161833,2.5606689453125,0.5536649901464654
2025-07-21,1560.4119873046875,1565.041072656143,1543.1758521432762,1556.1767745731315,3682661,-1.772705078125,0.5515830313331791
2025-07-22,1547.2139892578125,1561.889351060241,1541.4029254290974,1541.4029254290974,8473741,-13.197998046875,0.5360826028126657
2025-07-23,1550.7596435546875,1567.897309898412,1526.629055261839,1552.5325511946266,8035026,3.545654296875,0.5402468071709301
2025-07-24,1529.0914306640625,1558.1466301517212,1524.8562179010848,1556.1767861186595,14169664,-21.668212890625,0.5147985093392813
2025-07-25,1492.84619140625,1526.1366022975346,1488.512630894258,1520.12860228797,10851259,-36.2452392578125,0.4722301790266663
2025-07-28,1493.1417236328125,1496.392014262957,1460.14683725966,1491.0734115180542,6439855,0.2955322265625,0.47257726773944464
2025-07-29,1490.8763427734375,1494.3235696797126,1473.5417400906863,1490.0884773327002,7070448,-2.265380859375,0.46991668437234857
2025-07-30,1496.0965576171875,1498.7557989957106,1483.2925712781332,1496.9830114866083,5719051,5.22021484375,0.47604758140384407
2025-07-31,1486.247314453125,1504.0743788045277,1474.428250322285,1486.936711768862,6851407,-9.8492431640625,0.4644801081322556
