,adf_statistic,p_value,critical_values,is_stationary
RELIANCE.NS,-1.7101180233031603,0.4259070514521507,"{'1%': np.float64(-3.436260280202547), '5%': np.float64(-2.864149693787122), '10%': np.float64(-2.568159479632582)}",False
HDFCBANK.NS,-1.4167493043665256,0.5742204742995383,"{'1%': np.float64(-3.436260280202547), '5%': np.float64(-2.864149693787122), '10%': np.float64(-2.568159479632582)}",False
INFY.NS,-2.2509037053967185,0.18829144435756417,"{'1%': np.float64(-3.436260280202547), '5%': np.float64(-2.864149693787122), '10%': np.float64(-2.568159479632582)}",False
SUNPHARMA.NS,-0.6606232900901781,0.8566871144605512,"{'1%': np.float64(-3.4363305491063763), '5%': np.float64(-2.864180690211292), '10%': np.float64(-2.5681759880987265)}",False
MARUTI.NS,-0.9746717733867987,0.7623897473193104,"{'1%': np.float64(-3.436265626824956), '5%': np.float64(-2.864152052269338), '10%': np.float64(-2.568160735738769)}",False
ITC.NS,-1.0770553968288976,0.7241346867515048,"{'1%': np.float64(-3.436319629947604), '5%': np.float64(-2.8641758736917784), '10%': np.float64(-2.56817342284863)}",False
TATASTEEL.NS,-1.9822443408190364,0.2944121884375366,"{'1%': np.float64(-3.436260280202547), '5%': np.float64(-2.864149693787122), '10%': np.float64(-2.568159479632582)}",False
BAJFINANCE.NS,-1.6392913200290433,0.4626311227199139,"{'1%': np.float64(-3.436260280202547), '5%': np.float64(-2.864149693787122), '10%': np.float64(-2.568159479632582)}",False
