rmse,mae,mape,directional_accuracy,stock,model
98.87217473628584,82.4222806486389,5.563559229092625,50.80645161290322,RELIANCE.NS,arima
19.503125043535302,13.98478542140747,1.4385368244820875,47.58064516129033,HDFCBANK.NS,arima
79.88941718622729,66.26281317358264,4.404997011687978,51.61290322580645,INFY.NS,arima
25.024286665400208,21.756316682311663,5.478979347194267,45.96774193548387,ITC.NS,arima
3061.3126012515413,2629.049701157091,16.60839428992685,54.03225806451613,MARUTI.NS,arima
71.75946490245661,57.83862298909047,3.5395214934153088,58.06451612903226,SUNPHARMA.NS,arima
17.347435235909213,14.485896196946229,8.42656752423802,50.0,TATASTEEL.NS,arima
135.37403349759916,110.8349943016852,10.896788056345086,42.74193548387097,BAJFINANCE.NS,arima
98.87217473628584,82.4222806486389,5.563559229092625,50.80645161290322,RELIANCE.NS,sarima
19.503125043535302,13.98478542140747,1.4385368244820875,47.58064516129033,HDFCBANK.NS,sarima
79.88941718622729,66.26281317358264,4.404997011687978,51.61290322580645,INFY.NS,sarima
25.024286665400208,21.756316682311663,5.478979347194267,45.96774193548387,ITC.NS,sarima
3105.115417525582,2675.8266165744726,16.919959816881924,58.06451612903226,MARUTI.NS,sarima
71.75946490245661,57.83862298909047,3.5395214934153088,58.06451612903226,SUNPHARMA.NS,sarima
16.425747833597253,13.733247696594974,7.987879770294394,50.0,TATASTEEL.NS,sarima
135.37403349759916,110.8349943016852,10.896788056345086,42.74193548387097,BAJFINANCE.NS,sarima
97.23400958696618,78.9826511101233,5.630745235025946,48.38709677419355,RELIANCE.NS,holt-winters
35.10436707560733,30.12707212544616,3.078973574402005,48.38709677419355,HDFCBANK.NS,holt-winters
102.5383626217469,87.20863661000242,5.920130778588663,47.58064516129033,INFY.NS,holt-winters
71.77752452038315,57.839784326411525,3.539623166437281,58.06451612903226,SUNPHARMA.NS,holt-winters
2762.838297133176,2372.190458325428,14.985493099326623,55.64516129032258,MARUTI.NS,holt-winters
25.10083523328089,21.83447023218457,5.498588787618094,45.96774193548387,ITC.NS,holt-winters
6.090497021337484,4.820425237821191,2.83361025926445,50.0,TATASTEEL.NS,holt-winters
56.91370488081223,48.3393415655837,4.919846984635944,57.25806451612904,BAJFINANCE.NS,holt-winters
219.6735380367781,182.387291583502,12.196573486314517,58.87096774193549,RELIANCE.NS,prophet
39.69431476899612,33.75419294770065,3.4309505270466967,51.61290322580645,HDFCBANK.NS,prophet
150.5057256209218,135.5640417836348,9.151663696496984,53.2258064516129,INFY.NS,prophet
169.43739863921795,149.74268104536986,9.09761060458159,56.451612903225815,SUNPHARMA.NS,prophet
3166.4253919354865,2702.322174377045,17.063936027922438,54.03225806451613,MARUTI.NS,prophet
17.383376560638975,14.665461028947613,3.6775740435435695,50.0,ITC.NS,prophet
34.01174875223979,31.702712646944207,18.666380071138253,51.61290322580645,TATASTEEL.NS,prophet
84.97454986786121,74.84587101069583,7.876692506410385,54.83870967741935,BAJFINANCE.NS,prophet
72.54937081849403,65.742779296875,4.518469107143253,50.0,RELIANCE.NS,lstm
99.03650324194456,93.4560341796875,9.451290116101452,51.61290322580645,HDFCBANK.NS,lstm
80.11384204965636,59.11164453125,3.82147140873132,51.61290322580645,INFY.NS,lstm
84.47401748488532,64.9448193359375,3.780672610096503,43.54838709677419,SUNPHARMA.NS,lstm
4034.5096469414098,3538.7947265625,22.49373284745352,44.354838709677416,MARUTI.NS,lstm
19.894765191778973,18.14976440429688,4.534061844840256,53.2258064516129,ITC.NS,lstm
16.476322466456622,14.6763271484375,8.581750508070874,49.193548387096776,TATASTEEL.NS,lstm
296.05905671968424,272.5494282226563,27.29700078116014,42.74193548387097,BAJFINANCE.NS,lstm
78.23343302598839,70.1007724609375,4.895269159583282,50.80645161290322,RELIANCE.NS,gru
135.62834520580378,125.61192333984376,12.707078384271345,51.61290322580645,HDFCBANK.NS,gru
87.20008198688788,64.8689013671875,4.174870406290751,51.61290322580645,INFY.NS,gru
333.0640979522998,284.6339130859375,16.70054733587073,41.935483870967744,SUNPHARMA.NS,gru
3285.13908738134,2818.371796875,17.799841752977677,44.354838709677416,MARUTI.NS,gru
93.23537961400402,86.52370751953126,21.687838831251604,53.2258064516129,ITC.NS,gru
7.385432950122762,5.906614135742187,3.4491834076264083,50.0,TATASTEEL.NS,gru
197.00181979246352,172.216619140625,17.08066489501413,42.74193548387097,BAJFINANCE.NS,gru
